window,target,Return,Risk, Residual
13,0.06,0.0618822,0.223245,3.91124e-06
13,0.065,0.0669778,0.240629,9.22121e-06
13,0.07,0.0728337,0.257852,9.03181e-05
13,0.075,0.0778662,0.275681,3.1197e-05
13,0.08,0.0827704,0.292861,1.07842e-05
13,0.085,0.0862375,0.310583,9.30709e-06
13,0.09,0.0936254,0.327992,6.66899e-06
13,0.095,0.099314,0.34557,6.32547e-06
13,0.1,0.102653,0.362746,0.000251142
14,0,0.00390358,0.0300623,1.70306e-06
14,0.005,0.00938259,0.0354579,8.19889e-07
14,0.01,0.0146165,0.0491412,9.54478e-07
14,0.015,0.0205477,0.0657449,1.04089e-06
14,0.02,0.0262619,0.0843235,1.76107e-06
14,0.025,0.0320963,0.101791,0.000102234
14,0.03,0.037433,0.12261,4.48159e-06
14,0.035,0.0430627,0.142295,4.15683e-06
14,0.04,0.0487397,0.162266,1.11206e-05
14,0.045,0.0545773,0.181053,8.32652e-06
14,0.05,0.0601338,0.20245,6.02132e-05
14,0.055,0.0655455,0.221947,8.1046e-05
14,0.06,0.0713164,0.243143,1.52363e-05
14,0.065,0.076769,0.261883,0.000476155
14,0.07,0.0826259,0.280867,8.17882e-05
14,0.075,0.0882697,0.300699,0.000847474
14,0.08,0.0936496,0.321717,2.97218e-05
14,0.085,0.0993223,0.342534,0.00070695
14,0.09,0.105048,0.360956,1.6303e-05
14,0.095,0.11044,0.382495,1.11942e-05
14,0.1,0.116049,0.402595,1.04434e-05
15,0,0.0109929,0.0384461,6.40162e-06
15,0.005,0.0119613,0.031364,1.98526e-05
15,0.01,0.0129616,0.0345338,8.28361e-07
15,0.015,0.0146359,0.0461893,1.25604e-06
15,0.02,0.0161757,0.0611975,5.22668e-06
15,0.025,0.01744,0.0782231,0.000173694
15,0.03,0.018822,0.0955555,1.56497e-05
15,0.035,0.0199915,0.113817,0.000173125
15,0.04,0.0219848,0.130686,0.00023813
15,0.045,0.0227505,0.149215,0.000479213
15,0.05,0.0239627,0.168617,9.70654e-06
15,0.055,0.0256305,0.186159,1.27835e-05
15,0.06,0.0265447,0.205477,1.80601e-05
15,0.065,0.0272196,0.225766,1.19038e-05
15,0.07,0.0282038,0.244803,0.000511272
15,0.075,0.03009,0.262481,8.63043e-05
15,0.08,0.032914,0.278008,0.000379653
15,0.085,0.0328289,0.299554,8.36338e-05
15,0.09,0.0331163,0.320295,1.87016e-05
15,0.095,0.0359062,0.335133,0.00146998
15,0.1,0.0359639,0.35707,4.06787e-05
16,0,0.00552315,0.0302363,9.7609e-07
16,0.005,0.00641288,0.0385269,2.60895e-05
16,0.01,0.00717368,0.0561684,7.5966e-05
16,0.015,0.00815428,0.0771841,3.78207e-06
16,0.02,0.00888282,0.0992356,8.80758e-06
16,0.025,0.00968367,0.121824,7.91283e-06
16,0.03,0.0105837,0.144791,1.04555e-05
16,0.035,0.0112302,0.167865,1.69441e-05
16,0.04,0.0123941,0.191156,2.1129e-05
16,0.045,0.0130042,0.214243,4.86364e-05
16,0.05,0.0137475,0.237553,0.000528405
16,0.055,0.0143594,0.260426,1.66584e-05
16,0.06,0.0152337,0.284299,1.39758e-05
16,0.065,0.0164615,0.307654,1.76881e-05
16,0.07,0.0166577,0.331279,2.53859e-05
16,0.075,0.0174762,0.354599,0.000479252
16,0.08,0.0193275,0.377824,2.87038e-05
16,0.085,0.0193386,0.401409,2.75827e-05
16,0.09,0.0196867,0.424982,4.59813e-05
16,0.095,0.0209235,0.448227,5.70656e-05
16,0.1,0.0222819,0.471794,0.000104855
17,0,0.0078522,0.0446812,2.58439e-06
17,0.005,0.0039767,0.0628162,1.68183e-05
17,0.01,0.000261413,0.100834,3.48007e-05
17,0.015,-0.00369611,0.142948,1.07542e-05
17,0.02,-0.00759978,0.18498,7.23771e-06
17,0.025,-0.012033,0.230017,1.01318e-05
17,0.03,-0.0158045,0.272466,1.63708e-05
17,0.035,-0.020534,0.319758,0.000557083
17,0.04,-0.0239876,0.361935,2.72568e-05
17,0.045,-0.0292732,0.408382,9.0877e-05
17,0.05,-0.032624,0.450999,6.20059e-05
17,0.055,-0.0375773,0.497259,1.97923e-05
17,0.06,-0.0418556,0.542009,6.19289e-05
17,0.065,-0.0446137,0.58379,0.000118454
17,0.07,-0.0486125,0.628182,2.80438e-05
17,0.075,-0.0566332,0.67877,5.60497e-05
17,0.08,-0.0581109,0.71914,3.33396e-05
17,0.085,-0.0664364,0.76985,7.08616e-05
17,0.09,-0.0687604,0.810932,0.000173131
17,0.095,-0.0685215,0.85173,0.000250342
17,0.1,-0.073454,0.895166,3.97942e-05
18,0,0.0121333,0.054582,1.57261e-06
18,0.005,-0.00343587,0.0903323,2.50992e-06
18,0.01,-0.0191266,0.140579,3.04044e-06
18,0.015,-0.0347145,0.19511,7.48297e-06
18,0.02,-0.050321,0.24665,1.25361e-05
18,0.025,-0.0659101,0.304093,1.81583e-05
18,0.03,-0.0815348,0.357535,7.47321e-06
18,0.035,-0.0968342,0.417155,6.53017e-06
18,0.04,-0.112692,0.47219,1.12454e-05
18,0.045,-0.128224,0.527578,0.000543057
18,0.05,-0.144211,0.567534,0.00795168
18,0.055,-0.159254,0.634901,0.00097851
18,0.06,-0.174879,0.689264,0.000465914
18,0.065,-0.190121,0.740302,1.89305e-05
18,0.07,-0.206095,0.807676,2.07255e-05
18,0.075,-0.221121,0.851109,7.05206e-05
18,0.08,-0.237224,0.919677,0.000252589
18,0.085,-0.251181,0.948235,6.51807e-05
18,0.09,-0.267985,1.02642,2.23931e-05
18,0.095,-0.283738,1.07769,0.000363643
18,0.1,-0.299465,1.14373,2.78144e-05
19,0,-0.00556229,0.0979695,6.35832e-05
19,0.005,-0.00561463,0.120164,4.82883e-06
19,0.01,-0.00769633,0.143517,1.20128e-05
19,0.015,-0.00661585,0.176554,0.000149976
19,0.02,-0.00716375,0.2072,0.000474497
19,0.025,-0.0103781,0.233241,5.51308e-05
19,0.03,-0.0109844,0.267842,5.41069e-05
19,0.035,-0.00805025,0.306541,0.00592559
19,0.04,-0.00336654,0.347256,0.00841808
19,0.045,-0.0125757,0.367736,2.60434e-05
19,0.05,-0.0133381,0.401202,0.000184924
19,0.055,-0.0119157,0.438743,0.0001197
19,0.06,-0.0170541,0.460796,0.000973666
19,0.065,-0.0174078,0.499587,0.00137132
19,0.07,-0.0190715,0.527214,0.00170511
19,0.075,-0.0135767,0.576106,4.0158e-05
19,0.08,-0.018037,0.604019,5.13217e-05
19,0.085,-0.0210358,0.634352,5.5717e-05
19,0.09,-0.0193321,0.672436,0.0069841
19,0.095,-0.021798,0.703677,7.4537e-05
19,0.1,-0.0216926,0.739336,5.09162e-05
20,0,-0.0561752,0.0788707,5.09556e-06
20,0.005,-0.0458165,0.0510134,8.9685e-06
20,0.01,-0.035433,0.0938839,0.000137293
20,0.015,-0.0238087,0.157628,2.01587e-05
20,0.02,-0.0107532,0.226958,1.84842e-05
20,0.025,0.000346464,0.294955,0.000341539
20,0.03,0.0111426,0.363532,2.45363e-05
20,0.035,0.0206398,0.430597,0.00011628
20,0.04,0.0352668,0.504322,0.000820046
20,0.045,0.0417757,0.568701,9.4721e-05
20,0.05,0.0570419,0.643024,0.00109764
20,0.055,0.0683072,0.712762,0.00057042
20,0.06,0.078489,0.78075,5.86792e-05
20,0.065,0.0909895,0.852991,0.0043081
20,0.07,0.0971347,0.917634,0.000415539
20,0.075,0.111372,0.988686,6.27995e-05
20,0.08,0.12219,1.05807,7.20676e-05
20,0.085,0.126261,1.1266,0.000410554
20,0.09,0.145687,1.19896,6.89782e-05
20,0.095,0.151255,1.26612,0.000491704
20,0.1,0.166406,1.33641,0.00126742
21,0,0.00163227,0.0662535,1.94495e-05
21,0.005,-1.74093e-05,0.0614979,8.52391e-05
21,0.01,-0.0026058,0.0676948,0.000305428
21,0.015,-0.00543495,0.0816931,4.44482e-05
21,0.02,-0.00825173,0.100325,6.85764e-05
21,0.025,-0.01099,0.120947,1.59571e-05
21,0.03,-0.0141479,0.143469,1.97246e-05
21,0.035,-0.0172834,0.166039,3.35293e-05
21,0.04,-0.0201361,0.189791,0.000245179
21,0.045,-0.0228958,0.21415,2.96467e-05
21,0.05,-0.0258056,0.238366,2.72922e-05
21,0.055,-0.0288264,0.262284,0.000173283
21,0.06,-0.0320216,0.286695,4.48571e-05
21,0.065,-0.0346094,0.311423,3.77064e-05
21,0.07,-0.0374818,0.335587,0.000180367
21,0.075,-0.0405087,0.360793,7.79745e-05
21,0.08,-0.0432184,0.386159,6.0036e-05
21,0.085,-0.0462222,0.410741,4.69471e-05
21,0.09,-0.0490765,0.435404,0.000560393
21,0.095,-0.052075,0.460258,5.83984e-05
21,0.1,-0.0547136,0.486189,9.4208e-05
22,0,0.0100478,0.0313197,5.75126e-06
22,0.005,-0.00228402,0.032031,1.40087e-05
22,0.01,-0.0145951,0.0476449,0.000152571
22,0.015,-0.0268443,0.0685969,0.000193709
22,0.02,-0.0391146,0.0913186,2.12594e-05
22,0.025,-0.0513612,0.114777,3.04347e-05
22,0.03,-0.0636412,0.138593,0.000450918
22,0.035,-0.0758659,0.162626,0.00109264
22,0.04,-0.0880635,0.186742,8.06231e-05
22,0.045,-0.100322,0.211034,0.000300469
22,0.05,-0.113611,0.236289,0.000116134
22,0.055,-0.12489,0.259654,0.00143092
22,0.06,-0.13705,0.284055,0.000573408
22,0.065,-0.149274,0.308335,0.00144237
22,0.07,-0.16318,0.33422,0.000107494
22,0.075,-0.173887,0.357194,0.000677639
22,0.08,-0.186127,0.381575,0.000169934
22,0.085,-0.198706,0.40632,0.00157425
22,0.09,-0.210616,0.430443,0.000132911
22,0.095,-0.222892,0.454893,0.000103007
22,0.1,-0.23505,0.479365,8.96348e-05
